5.179743808815450e-002,	4.989267e-001,
5.198188407685377e-002,	5.188430e-001,
5.214255528592113e-002,	5.283600e-001,
5.229812172638070e-002,	5.320705e-001,
5.246911536025072e-002,	5.295345e-001,
5.270465115728287e-002,	5.142301e-001,
5.308614318870850e-002,	4.657862e-001,
5.351056678744011e-002,	3.817348e-001,
5.399884803744011e-002,	2.512268e-001,
5.448712928744011e-002,	9.558840e-002,
5.497541053744011e-002,	-7.246616e-002,
5.543242113726787e-002,	-2.275193e-001,
5.586879213406992e-002,	-3.609336e-001,
5.630949958501186e-002,	-4.689556e-001,
5.679778083501186e-002,	-5.561004e-001,
5.697873608444189e-002,	-5.767179e-001,
5.714188327928843e-002,	-5.863324e-001,
5.730728980331273e-002,	-5.896264e-001,
5.746413963458003e-002,	-5.859978e-001,
5.770491322162063e-002,	-5.669878e-001,
5.809471188239729e-002,	-5.096864e-001,
5.852167994359214e-002,	-4.135737e-001,
5.900996119359214e-002,	-2.670923e-001,
5.949824244359214e-002,	-9.421193e-002,
5.998652369359214e-002,	9.082821e-002,
6.043933760532169e-002,	2.586423e-001,
6.087502758364156e-002,	4.029671e-001,
6.131510939382392e-002,	5.186194e-001,
6.180339064382392e-002,	6.107812e-001,
6.197953600359338e-002,	6.314738e-001,
6.214568655765067e-002,	6.408133e-001,
6.232440054627595e-002,	6.430401e-001,
6.248588557424070e-002,	6.370296e-001,
6.274859105337453e-002,	6.101745e-001,
6.317300112020882e-002,	5.343736e-001,
6.360026718396257e-002,	4.217717e-001,
6.408854843396257e-002,	2.550999e-001,
6.457682968396257e-002,	6.334676e-002,
6.506511093396257e-002,	-1.376286e-001,
6.550924338771900e-002,	-3.129378e-001,
6.594202043121666e-002,	-4.624695e-001,
6.637922809428898e-002,	-5.808984e-001,
6.679245945912572e-002,	-6.604039e-001,
6.696799426998223e-002,	-6.812803e-001,
6.713451055626539e-002,	-6.907554e-001,
6.731490703506828e-002,	-6.924601e-001,
6.747881181202620e-002,	-6.851522e-001,
6.774543130827973e-002,	-6.544271e-001,
6.817598751518098e-002,	-5.693354e-001,
6.860408637901341e-002,	-4.458981e-001,
6.909236762901341e-002,	-2.650576e-001,
6.958064887901341e-002,	-5.847923e-002,
7.006893012901341e-002,	1.567131e-001,
7.051040211317106e-002,	3.422175e-001,
7.094285175061403e-002,	5.002827e-001,
7.137977859707863e-002,	6.246965e-001,
7.178457972121435e-002,	7.058958e-001,
7.195873376899402e-002,	7.271932e-001,
7.212608117450488e-002,	7.366052e-001,
7.231029006463713e-002,	7.375222e-001,
7.247967801269441e-002,	7.283902e-001,
7.275516018065086e-002,	6.922988e-001,
7.319959679400999e-002,	5.946730e-001,
7.362806190320079e-002,	4.594669e-001,
7.411634315320079e-002,	2.639610e-001,
7.460462440320079e-002,	4.300527e-002,
7.504393195522276e-002,	-1.625961e-001,
