6.800294124467553e-003,	-9.138617e-004,
6.879048926260789e-003,	-7.654322e-004,
6.969353912841254e-003,	-5.893843e-004,
7.060735655386369e-003,	-4.136685e-004,
7.111778548206215e-003,	-3.204067e-004,
7.146700741773581e-003,	-2.605566e-004,
7.172031246370415e-003,	-2.194795e-004,
7.190953682359753e-003,	-1.902887e-004,
7.213965784129021e-003,	-1.564772e-004,
7.237970290121775e-003,	-1.230618e-004,
7.266735606290406e-003,	-8.585297e-005,
7.313353912529279e-003,	-3.159815e-005,
7.387530328098826e-003,	4.388428e-005,
7.468727849613112e-003,	1.162157e-004,
7.547343491164539e-003,	1.814049e-004,
7.626716323291520e-003,	2.509787e-004,
7.720860647849538e-003,	3.448578e-004,
7.761537205791656e-003,	3.917397e-004,
7.790452625425939e-003,	4.292235e-004,
7.811833889042608e-003,	4.590878e-004,
7.833262788345818e-003,	4.909715e-004,
7.859919057482040e-003,	5.329843e-004,
7.884690258270989e-003,	5.746142e-004,
7.924923292713829e-003,	6.477116e-004,
7.989467928465582e-003,	7.755742e-004,
8.080681169031470e-003,	9.706439e-004,
8.178965189272407e-003,	1.187820e-003,
8.303672852911866e-003,	1.457623e-003,
8.359526327412535e-003,	1.570269e-003,
8.397062095792572e-003,	1.639569e-003,
8.424044399064724e-003,	1.685919e-003,
8.444109118028427e-003,	1.718261e-003,
8.466369427606575e-003,	1.751943e-003,
8.493030276316187e-003,	1.789589e-003,
8.520807478518144e-003,	1.825303e-003,
8.565851631998496e-003,	1.876391e-003,
8.617350820498089e-003,	1.926332e-003,
8.669418546917052e-003,	1.967988e-003,
8.729952394759669e-003,	2.007550e-003,
8.803461700352053e-003,	2.048604e-003,
8.891820528340621e-003,	2.096031e-003,
8.962960565976267e-003,	2.137849e-003,
9.010504788148787e-003,	2.170336e-003,
9.045257671949306e-003,	2.197475e-003,
9.067099995380938e-003,	2.216316e-003,
9.088246936196540e-003,	2.236041e-003,
9.111736958626602e-003,	2.259421e-003,
9.133482129164323e-003,	2.282619e-003,
9.168842571634649e-003,	2.323580e-003,
9.225856073888053e-003,	2.396083e-003,
9.314999658623500e-003,	2.518727e-003,
9.424544494617510e-003,	2.670722e-003,
9.552059299323741e-003,	2.833987e-003,
9.610911206073996e-003,	2.897199e-003,
9.650027659665191e-003,	2.930600e-003,
9.677989829096564e-003,	2.949998e-003,
9.698724638422461e-003,	2.961718e-003,
9.720556975441632e-003,	2.971451e-003,
9.748753298389513e-003,	2.980639e-003,
9.775957552650615e-003,	2.985490e-003,
9.820087212657317e-003,	2.985239e-003,
9.877155076114938e-003,	2.973587e-003,
9.929441109172432e-003,	2.952348e-003,
9.982342408513109e-003,	2.921721e-003,
1.003170090339279e-002,	2.886803e-003,
1.010474924207063e-002,	2.829789e-003,
1.019933218486927e-002,	2.755598e-003,
1.025658235803730e-002,	2.713670e-003,
1.029057889012507e-002,	2.691445e-003,
1.031531477310388e-002,	2.677001e-003,
1.033450650180427e-002,	2.666930e-003,
1.035832424332194e-002,	2.655731e-003,
1.038059196762779e-002,	2.646553e-003,
1.041000168852516e-002,	2.636590e-003,
1.045764446428951e-002,	2.624857e-003,
1.053333780108687e-002,	2.613423e-003,
1.061783104634417e-002,	2.605709e-003,
1.069387131903989e-002,	2.597318e-003,
1.077332263555600e-002,	2.578365e-003,
1.085807112168234e-002,	2.541899e-003,
1.090011104736445e-002,	2.514847e-003,
1.092984844869907e-002,	2.490144e-003,
1.095178281882987e-002,	2.469000e-003,
1.097287405239428e-002,	2.446242e-003,
1.099610936785542e-002,	2.418700e-003,
1.101748819925420e-002,	2.390761e-003,
1.105225702761004e-002,	2.339790e-003,
1.110834681742064e-002,	2.247023e-003,
1.116591861792438e-002,	2.140073e-003,
1.122229677182074e-002,	2.024370e-003,
1.129194704718306e-002,	1.871377e-003,
1.137682121831181e-002,	1.679494e-003,
1.146590422470049e-002,	1.479638e-003,
1.151459087235161e-002,	1.374339e-003,
1.155059059658631e-002,	1.300097e-003,
1.157768355289821e-002,	1.246528e-003,
1.159827237548780e-002,	1.207331e-003,
1.161924196715728e-002,	1.168757e-003,
1.163882048951771e-002,	1.134065e-003,
1.166922627265853e-002,	1.082830e-003,
1.171844913060549e-002,	1.005621e-003,
1.179646531817970e-002,	8.935316e-004,
1.189162631478623e-002,	7.657506e-004,
1.199903624110961e-002,	6.214009e-004,
1.208444734105249e-002,	4.975982e-004,
1.213646897270148e-002,	4.137066e-004,
1.217193112162651e-002,	3.509405e-004,
1.219760615004849e-002,	3.023863e-004,
1.221676814089723e-002,	2.642318e-004,
1.223962030856114e-002,	2.166389e-004,
1.226418583020527e-002,	1.631547e-004,
